File,LipidClass,LipidSpecies,Adduct,Label,CCS
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:1,[M+H],light,234.46
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:1,[M+Na],light,235.62
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:1,[M+H],heavy,235.02
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:2,[M+H],light,228.02
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:2,[M+Na],light,230.87
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:2,[M+H],heavy,228.86
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:2,[M+Na],heavy,230.33
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:3,[M+H],light,222.69
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:3,[M+Na],light,227.52
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:3,[M+H],heavy,223.26
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:3,[M+Na],heavy,227.26
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPE,LPE 18:2,[M+H],light,211.86
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPE,LPE 18:2,[M+H],heavy,211.59
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:1,[M+NH4],light,273.2
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:1,[M+Na],light,269.3
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:1,[M+NH4],heavy,274.31
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:1,[M+Na],heavy,270.69
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:2,[M+NH4],light,269.63
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:2,[M+Na],light,268.21
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:2,[M+NH4],heavy,270.19
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:2,[M+Na],heavy,268.78
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:3,[M+NH4],light,266.88
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 34:3,[M+NH4],heavy,268.27
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 35:2,[M+NH4],light,273.66
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 35:2,[M+NH4],heavy,275.59
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:1,[M+NH4],light,280.7
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:1,[M+NH4],heavy,282.07
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:2,[M+NH4],light,276.86
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:2,[M+Na],light,278.2
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:2,[M+NH4],heavy,276.59
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:2,[M+Na],heavy,276.56
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:3,[M+NH4],light,271.64
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:3,[M+NH4],heavy,273.31
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:4,[M+NH4],light,271.38
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:4,[M+NH4],heavy,269.46
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:4,[M+Na],heavy,282.08
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:5,[M+NH4],light,265.88
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PA,PA 36:5,[M+NH4],heavy,266.72
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:0,[M+H],light,287.46
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:0,[M+H],heavy,288.01
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:1,[M+H],light,283.08
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:1,[M+Na],light,285.67
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:1,[M+H],heavy,284.18
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:1,[M+Na],heavy,287.33
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:2,[M+H],light,280.35
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:2,[M+Na],light,281.57
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:2,[M+H],heavy,280.9
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:2,[M+Na],heavy,281.87
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:3,[M+H],light,277.07
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:3,[M+Na],light,278.57
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:3,[M+H],heavy,276.8
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:3,[M+Na],heavy,280.51
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:4,[M+H],light,273.23
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:4,[M+Na],light,275.55
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:4,[M+H],heavy,273.79
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:4,[M+Na],heavy,278.05
